Strategy,Range,Min_Connections,Max_Connections,Avg_Links_Inserted_k,Overall_Avg_AY,Overall_Avg_AV,Overall_Avg_DUR,Overall_Avg_Pages_Up,Overall_Avg_Pages_Down,Num_Comparisons
random_batches,Range_5-35,5,35,237.0,0.0051674368352608,0.0024989016958733,0.1984094199725941,1135.0390000000002,224.589,10
high_batches,Range_5-35,5,35,240.0,0.0055145408288088,0.0024772609802325,0.5327660994561337,783.5600000000001,416.875,10
folder_batches,Range_5-35,5,35,228.3,0.0057596627699011,0.0025967801508088,0.199392518677834,1254.2400000000002,249.032,10
mixed_batches,Range_5-35,5,35,238.4,0.005836576564324,0.0024948405422257,0.6342994371940687,746.8030000000001,472.271,10
low_batches,Range_5-35,5,35,239.9,0.0055994107844098,0.0024777671195705,0.5587450115826104,783.679,436.612,10
random_batches,Range_35-65,35,65,237.0,0.00752576160604,0.0028612724235741,0.3218798653896094,1088.873,350.021,10
high_batches,Range_35-65,35,65,240.0,0.0078321700326723,0.0028368384921785,0.5965534394460668,836.2990000000002,498.506,10
folder_batches,Range_35-65,35,65,228.3,0.0082001373237088,0.002975412175217,0.2871619442841019,1196.905,342.69300000000004,10
mixed_batches,Range_35-65,35,65,238.4,0.0081761041691877,0.0028556084638622,0.6692050070161916,810.7860000000001,541.935,10
low_batches,Range_35-65,35,65,239.9,0.0079216253511012,0.0028356117675849,0.6150732018154158,835.424,513.17,10
random_batches,Range_65-95,65,95,237.0,0.0095764995787249,0.0029048037001778,0.4183403081934931,1056.554,441.49,10
high_batches,Range_65-95,65,95,240.0,0.0098454211129506,0.0028792732768617,0.6269358349998266,876.579,549.297,10
folder_batches,Range_65-95,65,95,228.3,0.0103278823230123,0.0030373834897029,0.3671233889526014,1150.825,421.504,10
mixed_batches,Range_65-95,65,95,238.4,0.0102062125794828,0.0028969732177555,0.6800546401404037,854.683,580.702,10
low_batches,Range_65-95,65,95,239.9,0.009938145067663263,0.0028782166791658636,0.6375735457662763,878.2090000000001,559.449,10
