Strategy,Range,Min_Connections,Max_Connections,Avg_Links_Inserted_k,Overall_Avg_AY,Overall_Avg_AV,Overall_Avg_DUR,Overall_Avg_Pages_Up,Overall_Avg_Pages_Down,Num_Comparisons
random_batches,Range_5-35,5,35,237.0,0.0050919061415989,0.0024953272827002,0.2497067679386647,1085.8070000000002,270.41700000000003,10
high_batches,Range_5-35,5,35,240.0,0.0054377633276563,0.0024701557360747,0.6022821997713086,760.804,457.617,10
folder_batches,Range_5-35,5,35,228.3,0.0056452296825233,0.0026052059727801,0.2390720802017721,1196.455,284.69800000000004,10
mixed_batches,Range_5-35,5,35,238.4,0.0057233389797127,0.0024856486922,0.7350687004233768,712.732,522.027,10
low_batches,Range_5-35,5,35,239.9,0.0055061739324097,0.0024696266827166,0.6405789470921335,754.7659999999998,481.927,10
random_batches,Range_35-65,35,65,237.0,0.0076999695349337,0.0026820598781735,0.3600234053746786,1053.899,378.904,10
high_batches,Range_35-65,35,65,240.0,0.0080009865447703,0.0026574944738023,0.6620484299990659,805.2909999999999,532.7810000000001,10
folder_batches,Range_35-65,35,65,228.3,0.0083310668812976,0.0028002704014835,0.3189029921031673,1161.797,369.15,10
mixed_batches,Range_35-65,35,65,238.4,0.0083114937390522,0.0026712027944905,0.750344984194094,774.213,579.9609999999999,10
low_batches,Range_35-65,35,65,239.9,0.0080767519628172,0.0026555436659069,0.6823327471186975,805.9029999999999,549.049,10
random_batches,Range_65-95,65,95,237.0,0.0098798767674674,0.0028605587264546,0.5009023646682734,998.1990000000002,499.403,10
high_batches,Range_65-95,65,95,240.0,0.0101454231886497,0.0028429889272456,0.7435267690849676,830.344,617.14,10
folder_batches,Range_65-95,65,95,228.3,0.0105855099795455,0.0029845951638774,0.4215807663727975,1103.254,463.651,10
mixed_batches,Range_65-95,65,95,238.4,0.0104747347773427,0.002855859794294,0.8093651869785103,807.2280000000001,652.875,10
low_batches,Range_65-95,65,95,239.9,0.01022421651710415,0.0028387269250830394,0.7584818507411434,829.208,628.457,10
