Strategy,Range,Min_Connections,Max_Connections,Avg_Links_Inserted_k,Overall_Avg_AY,Overall_Avg_AV,Overall_Avg_DUR,Overall_Avg_Pages_Up,Overall_Avg_Pages_Down,Num_Comparisons
Random Candidates,Range_5-35,5,35,239.5,0.0061216290616239,0.0011973237377542,2.878045836295774,463.073,1332.146,2
High Candidates,Range_5-35,5,35,240.0,0.0011960940363115,0.0011805845085874,2.557072742676956,445.261,1124.147,2
Folder Candidates,Range_5-35,5,35,240.0,0.0027372571596973,0.0011830870705045,2.518637357683799,437.317,1101.3000000000002,2
Mixed Candidates,Range_5-35,5,35,240.0,0.0057640940125327,0.0011894733418502,2.8185030499976165,438.967,1127.728,2
Low Candidates,Range_5-35,5,35,240.0,0.010941517746878,0.0011968997326987,4.161636084014605,357.592,1408.347,2
Random Candidates,Range_35-65,35,65,239.5,0.0067538921148126,0.0012019504376524,2.5254578084767125,507.409,1280.522,2
High Candidates,Range_35-65,35,65,240.0,0.0018359193122319,0.001182020512584,1.9220255678427485,551.383,1052.702,2
Folder Candidates,Range_35-65,35,65,240.0,0.0033633138032306,0.0011943038109074,1.927459835749468,541.9639999999999,1044.6570000000002,2
Mixed Candidates,Range_35-65,35,65,240.0,0.0063711025655285,0.0012077068944708,2.238024884373513,529.614,1086.171,2
Low Candidates,Range_35-65,35,65,240.0,0.0115251663455909,0.0012010650808572,3.360740977308228,420.702,1341.147,2
Random Candidates,Range_65-95,65,95,239.5,0.0073531015826224,0.0012020223586797,2.2859705440867044,543.452,1241.607,2
High Candidates,Range_65-95,65,95,240.0,0.0024434034696289,0.0011825973421241,1.6429798602654482,621.2529999999999,1017.198,2
Folder Candidates,Range_65-95,65,95,240.0,0.0039581986469121,0.0011961263168687,1.660447859213837,611.983,1016.161,2
Mixed Candidates,Range_65-95,65,95,240.0,0.0069523680128832,0.0012114788521239,1.9230670536552013,591.233,1059.979,2
Low Candidates,Range_65-95,65,95,240.0,0.01208055116850626,0.0012007174164274518,2.860008729017523,473.39,1289.601,2
