Strategy,Range,Min_Connections,Max_Connections,Avg_Links_Inserted_k,Overall_Avg_AY,Overall_Avg_AV,Overall_Avg_DUR,Overall_Avg_Pages_Up,Overall_Avg_Pages_Down,Num_Comparisons
Random Candidates,Range_5-35,5,35,239.5,0.0064587908427823,0.0017191171418277,2.809466721658602,469.185,1318.212,2
High Candidates,Range_5-35,5,35,240.0,0.0015313604289387,0.0016958216434628,2.098866825835311,511.954,1064.6370000000002,2
Folder Candidates,Range_5-35,5,35,240.0,0.0030813769143678,0.0017002878532382,1.9736409049694936,525.297,1036.487,2
Mixed Candidates,Range_5-35,5,35,240.0,0.0061085648483579,0.0017032902515223,2.447938199604212,492.02600000000007,1097.442,2
Low Candidates,Range_5-35,5,35,240.0,0.0112697363235714,0.0017293488374874,3.750345625577998,382.446,1370.469,2
Random Candidates,Range_35-65,35,65,239.5,0.007525138058376,0.001769022760749,2.3929981316484352,525.52,1257.446,2
High Candidates,Range_35-65,35,65,240.0,0.0026041963984496,0.0017322579645546,1.682966320689761,605.805,1015.301,2
Folder Candidates,Range_35-65,35,65,240.0,0.0041452486063194,0.0017329235876841,1.6409313240644652,611.6949999999999,1003.784,2
Mixed Candidates,Range_35-65,35,65,240.0,0.0071530832932998,0.0017456252398754,1.9729959514807187,578.674,1062.387,2
Low Candidates,Range_35-65,35,65,240.0,0.0122997015192643,0.0017780626076896,2.947037837547029,458.897,1295.316,2
Random Candidates,Range_65-95,65,95,239.5,0.0085548553720045,0.0017873666339311,2.108920214901789,573.675,1209.519,2
High Candidates,Range_65-95,65,95,240.0,0.0036311910689533,0.0017459388591507,1.4779508716879386,669.095,986.888,2
Folder Candidates,Range_65-95,65,95,240.0,0.0051672400902954,0.0017722237716673,1.4757304347576192,667.773,985.415,2
Mixed Candidates,Range_65-95,65,95,240.0,0.0081633896864653,0.0017811878997059,1.7168716737310534,636.875,1037.867,2
Low Candidates,Range_65-95,65,95,240.0,0.013296684396720514,0.0017901459777721674,2.473843072625195,520.236,1239.025,2
