led_type,dataset,strategy,range,batch_name,file_path,raw_edges_in_file,n_edges_added,from_overlap,to_overlap,edge_overlap,ssa_before,ssa_after,delta_ssa,mean_sim_added,median_sim_added,std_sim_added,added_edges_covered,added_edges_total,added_coverage,updated_edges_covered,updated_edges_total,updated_coverage
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_1,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_1.csv,121352,232,1.0,1.0,1.0,0.8258532610737812,0.8256784510236818,-0.00017481005009944983,0.6737613531409717,0.6723716259002686,0.08334767916535733,122,232,0.5258620689655172,106145,121352,0.8746868613619883
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_10,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_10.csv,121344,224,1.0,1.0,1.0,0.8258532610737812,0.8256739718864234,-0.00017928918735776733,0.6685766370828486,0.6781787276268005,0.08802992584040213,121,224,0.5401785714285714,106144,121344,0.8747362869198312
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_2,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_2.csv,121352,232,1.0,1.0,1.0,0.8258532610737812,0.8256777474144655,-0.00017551365931567364,0.670607041567564,0.6696456074714661,0.0911889637945371,120,232,0.5172413793103449,106143,121352,0.8746703803810403
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_3,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_3.csv,121350,230,1.0,1.0,1.0,0.8258532610737812,0.8256798182386835,-0.00017344283509768132,0.6785683805942535,0.6777437329292297,0.08516210889611377,125,230,0.5434782608695652,106148,121350,0.8747259991759374
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_4,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_4.csv,121348,228,1.0,1.0,1.0,0.8258532610737812,0.8256667126289183,-0.00018654844486287736,0.6474826966857051,0.6460503339767456,0.0858085881355873,111,228,0.4868421052631579,106134,121348,0.8746250453241916
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_5,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_5.csv,121346,226,1.0,1.0,1.0,0.8258532610737812,0.8256873224054527,-0.00016593866832848025,0.6765914289122921,0.6963547468185425,0.08967296396404194,118,226,0.5221238938053098,106141,121346,0.8746971470011372
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_6,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_6.csv,121354,234,1.0,1.0,1.0,0.8258532610737812,0.8256692705916939,-0.00018399048208728175,0.6708500413667589,0.6735174655914307,0.08252823019541315,126,234,0.5384615384615384,106149,121354,0.8747054073207311
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_7,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_7.csv,121344,224,1.0,1.0,1.0,0.8258532610737812,0.8256947601811581,-0.00015850089262314793,0.6808263107106604,0.6800050139427185,0.08727626428510021,116,224,0.5178571428571429,106139,121344,0.8746950817510548
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_8,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_8.csv,121346,226,1.0,1.0,1.0,0.8258532610737812,0.8256661878055015,-0.00018707326827971382,0.679827444255352,0.6899600028991699,0.09294447494866342,136,226,0.6017699115044248,106159,121346,0.8748454831638456
automatic,unknown,folder_batches,unknown,240_folder_updated_link_graph_9,/content/drive/MyDrive/WebKnoGraph/results/automatic_led/folder_batches/240_folder_updated_link_graph_9.csv,121347,227,1.0,1.0,1.0,0.8258532610737812,0.8256678820385784,-0.00018537903520277066,0.6696802514886099,0.6628096699714661,0.08661889341765348,126,227,0.5550660792951542,106149,121347,0.8747558654107642
